velocity,gamma,success,apoapsis,delta_v,exit_velocity,max_g_load,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux
14421.052631578947,-10.205128205128204,False,,,,,,,
14421.052631578947,-10.153846153846153,False,,,,,,,
14421.052631578947,-10.102564102564102,False,,,,,,,
14421.052631578947,-10.051282051282051,False,,,,,,,
14421.052631578947,-10.0,False,,,,,,,
14526.315789473683,-12.0,False,,,,,,,
14526.315789473683,-11.948717948717949,False,,,,,,,
14526.315789473683,-11.897435897435898,False,,,,,,,
14526.315789473683,-11.846153846153847,False,,,,,,,
14526.315789473683,-11.794871794871796,False,,,,,,,
14526.315789473683,-11.743589743589745,False,,,,,,,
14526.315789473683,-11.692307692307692,False,,,,,,,
14526.315789473683,-11.64102564102564,False,,,,,,,
14526.315789473683,-11.58974358974359,False,,,,,,,
14526.315789473683,-11.538461538461538,False,,,,,,,
14526.315789473683,-11.487179487179487,False,,,,,,,
14526.315789473683,-11.435897435897436,False,,,,,,,
14526.315789473683,-11.384615384615385,False,,,,,,,
14526.315789473683,-11.333333333333334,False,,,,,,,
14526.315789473683,-11.282051282051283,False,,,,,,,
14526.315789473683,-11.23076923076923,False,,,,,,,
14526.315789473683,-11.179487179487179,False,,,,,,,
14526.315789473683,-11.128205128205128,False,,,,,,,
14526.315789473683,-11.076923076923077,False,,,,,,,
14526.315789473683,-11.025641025641026,False,,,,,,,
14526.315789473683,-10.974358974358974,True,499999.8124688139,127.1332382609794,3531.609183103983,7.543844211878915,312.13829892177876,187.50366752113035,124.74763682109094
14526.315789473683,-10.923076923076923,False,,,,,,,
14526.315789473683,-10.871794871794872,True,500000.0124003747,126.80683194666244,3531.6088928209115,7.4739856467144765,305.1637468311392,182.17042496736136,123.13376580254095
